rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing primary CTAs,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The hero presents multiple equally prominent CTAs, splitting user attention and diluting the primary conversion path.","The hero presents multiple equally prominent CTAs, splitting user attention and diluting the primary conversion path.",h1: A fresh dose of nostalgia; cta: Start with a quiz; notes: Keep one primary CTA; move secondary CTAs to supporting sections.,"Hero CTAs: 'Start with a quiz', 'Shop eyeglasses', 'Shop the collection' all appear in the hero section with similar visual weight. | Multiple H2s and CTAs in hero area: 'See fall semester through fresh eyes', 'Start with a quiz', 'Shop eyeglasses', 'Shop the collection', 'Shop Putney', 'Shop all '90s styles'. | Hero CTAs: 'Start with a quiz', 'Shop eyeglasses', 'Shop the collection' all visible in the same viewport.","Funnel-Path & Commerce Clarity, Message Clarity, Nav & Distraction",396720,1983600,"11,400,000 annual visits x 2.40% conversion x 1.0-5.0% relative lift x $145 order value",261572,17,finding_1_competing_primary_ctas.html
2,Path bypass via benefits form,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The 'Check my benefits' form on the homepage bypasses the primary quiz path, sending users to insurance verification instead of product discovery.","The 'Check my benefits' form on the homepage bypasses the primary quiz path, sending users to insurance verification instead of product discovery.",h1: A fresh dose of nostalgia; cta: Start with a quiz; notes: Remove or de-emphasize benefits checker from homepage; keep it in a secondary location.,"Form with 'Check my benefits' submit button appears on homepage, alongside primary CTAs like 'Start with a quiz'. | Form on homepage with labels: 'First name', 'Last name', 'Date of birth', 'Zip code', 'I am a dependent on this insurance policy' and submit 'Check my benefits'.","Funnel-Path & Commerce Clarity, Form / Friction",396720,1983600,"11,400,000 annual visits x 2.40% conversion x 1.0-5.0% relative lift x $145 order value",261572,17,finding_2_path_bypass_via_benefits_form.html
3,Vague hero headline,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero headline 'A fresh dose of nostalgia' is emotionally vague and fails to communicate the core value proposition or address the visitor's intent to buy affordable glasses, causing confusion and potential bounce.","The hero headline 'A fresh dose of nostalgia' is emotionally vague and fails to communicate the core value proposition or address the visitor's intent to buy affordable glasses, causing confusion and potential bounce.","h1: Stylish glasses, starting at $95; cta: Shop eyeglasses; notes: Lead with the value proposition (affordable, stylish eyewear) and a clear CTA that matches the visitor's intent to browse or buy.","H1: 'A fresh dose of nostalgia' with CTAs 'Shop Putney' and 'Shop all '90s styles' but no mention of price, quality, or problem-solving.",Message Clarity,396720,1983600,"11,400,000 annual visits x 2.40% conversion x 1.0-5.0% relative lift x $145 order value",261572,17,finding_3_vague_hero_headline.html
4,Rotating hero without clear primary CTA,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The hero rotates between multiple messages (nostalgia, fall collection, contacts discount) without a single dominant CTA, diluting focus and increasing cognitive load for the visitor.","The hero rotates between multiple messages (nostalgia, fall collection, contacts discount) without a single dominant CTA, diluting focus and increasing cognitive load for the visitor.","h1: Glasses that fit your style and budget; cta: Shop eyeglasses; notes: Simplify the hero to one clear message and one primary CTA, with secondary CTAs de-emphasized to guide the visitor toward a single next step.","Multiple H2s and CTAs in hero area: 'See fall semester through fresh eyes', 'Start with a quiz', 'Shop eyeglasses', 'Shop the collection', 'Shop Putney', 'Shop all '90s styles'.",Message Clarity,396720,1983600,"11,400,000 annual visits x 2.40% conversion x 1.0-5.0% relative lift x $145 order value",261572,17,finding_4_rotating_hero_without_clear_primary_cta.html
5,Insurance form friction,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The insurance benefits checker asks for first name, last name, date of birth, and zip code before any value exchange, creating unnecessary friction for a cold visitor.","The insurance benefits checker asks for first name, last name, date of birth, and zip code before any value exchange, creating unnecessary friction for a cold visitor.","h1: A fresh dose of nostalgia; cta: Check my benefits; notes: Reduce to just zip code and insurance provider (if needed) or add a trust layer (e.g., 'We'll only use this to check your coverage') and explain the value before asking for personal details.","Form on homepage with labels: 'First name', 'Last name', 'Date of birth', 'Zip code', 'I am a dependent on this insurance policy' and submit 'Check my benefits'.",Form / Friction,396720,1983600,"11,400,000 annual visits x 2.40% conversion x 1.0-5.0% relative lift x $145 order value",261572,17,finding_5_insurance_form_friction.html
6,Email capture without incentive,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The email capture form on the homepage and cart page lacks a clear incentive or value proposition, reducing opt-in rates.","The email capture form on the homepage and cart page lacks a clear incentive or value proposition, reducing opt-in rates.","h1: Your cart is empty; cta: Sign up; notes: Add a clear incentive (e.g., 'Get 10% off your first order') and a privacy note (e.g., 'No spam, unsubscribe anytime') to increase opt-in rates.","Form with single input 'Email address' and no submit button label (empty string) on homepage and cart page; on cart page it's under 'Get the inside scoop on new frames, events, and more'.",Form / Friction,396720,1983600,"11,400,000 annual visits x 2.40% conversion x 1.0-5.0% relative lift x $145 order value",261572,17,finding_6_email_capture_without_incentive.html
7,No guarantee visible,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"First-time buyers hesitate at the hero because there's no explicit guarantee or risk-reversal near the primary CTA, reducing click-through to the quiz or shop.","First-time buyers hesitate at the hero because there's no explicit guarantee or risk-reversal near the primary CTA, reducing click-through to the quiz or shop.","h1: A fresh dose of nostalgia; cta: Start with a quiz | Shop eyeglasses; notes: Add a one-line guarantee near the CTAs: 'Free shipping & 30-day returns. Love them or get a full refund.' Or add a review snippet: 'Rated 4.8/5 from 10,000+ reviews.'","Hero section shows 'Start with a quiz' and 'Shop eyeglasses' CTAs, but the only trust elements are 'Free shipping' and 'Free 30-day returns' in a small line below; no guarantee or review count is present.",Trust & Objection,396720,1983600,"11,400,000 annual visits x 2.40% conversion x 1.0-5.0% relative lift x $145 order value",261572,17,finding_7_no_guarantee_visible.html
8,Starting at $95 excludes lenses,HIGH,Homepage,Low,0.5-2 days,5,10,no,trust|conversion,"The prominent 'starting at $95' claim omits that prescription lenses are an additional cost, creating an expectation gap that may lead to cart abandonment or distrust.","The prominent 'starting at $95' claim omits that prescription lenses are an additional cost, creating an expectation gap that may lead to cart abandonment or distrust.",h1: A fresh dose of nostalgia; cta: Shop eyeglasses; notes: Add a subheading or tooltip: 'Frames from $95; prescription lenses from $X' to set accurate expectations.,"Nav item: 'Premium eyewear, starting at $95' and multiple '$95' prices on homepage, but no mention of lens costs or that $95 is for frames only.",Pricing Transparency,396720,1983600,"11,400,000 annual visits x 2.40% conversion x 1.0-5.0% relative lift x $145 order value",261572,17,finding_8_starting_at_95_excludes_lenses.html
9,No responsive viewport declared,URGENT,Mobile,Medium,2-5 days,4,10,yes,conversion,"Without a viewport meta tag, mobile browsers render the desktop layout scaled down, making all tap targets too small and severely hurting mobile conversion.","Without a viewport meta tag mobile browsers render the desktop layout scaled down, making every tap target too small.","notes: Add <meta name=""viewport"" content=""width=device-width, initial-scale=1"">","Measured on the mobile render: no <meta name=""viewport""> present.",Technical & Accessibility,793440,3173760,"11,400,000 annual visits x 2.40% conversion x 2.0-8.0% relative lift x $145 order value",103633,7,finding_9_no_responsive_viewport_declared.html
10,Empty cart lacks trust,HIGH,Checkout & Cart,Medium,2-5 days,4,10,no,conversion,"When the cart is empty, the page fails to reassure visitors about shipping, returns, or security, which may discourage them from proceeding to shop.","When the cart is empty, the page fails to reassure visitors about shipping, returns, or security, which may discourage them from proceeding to shop.","h1: Your cart is empty; cta: Shop eyeglasses | Shop sunglasses | Shop contacts; notes: Add a trust line below the CTAs: 'Free shipping & 30-day returns on all orders.' Or include a small security badge (e.g., SSL secure checkout) to reduce hesitation.","Cart page shows 'Your cart is empty' with CTAs to shop, but the trust indicators (free shipping, returns) are absent; no guarantee or security badges are present.",Trust & Objection,396720,1983600,"11,400,000 annual visits x 2.40% conversion x 1.0-5.0% relative lift x $145 order value",261572,17,finding_10_empty_cart_lacks_trust.html
